10333-3	(Color) Appearance in CSF
10535-3	Digoxin [Mass/volume] in Serum or Plasma
13306-6	HLA-DR beta [Type]
13969-1	Creatine kinase.MB [Mass/volume] in Serum or Plasma
13305-8	HLA-DQ [Type]
13304-1	HLA-DR [Type]
14959-1	Microalbumin/Creatinine [Mass Ratio] in Urine
2028-9	Carbon dioxide, total [Moles/volume] in Serum or Plasma
5894-1	Prothrombin time (PT) actual/normal in Platelet poor plasma by Coagulation assay
18314-5	Morphology [interpretation] in Blood Narrative
2161-8	Creatinine [Mass/volume] in Urine
6099-6	IgE Ab
6156-4	IgE Ab
6085-5	IgE Ab
6833-8	IgE Ab
30170-5	IgE Ab
6092-1	IgE Ab
6096-2	IgE Ab
6109-3	IgE Ab
7155-5	IgE Ab
6195-2	IgE Ab
6278-6	IgE Ab
6020-2	IgE Ab
6098-8	IgE Ab
15283-5	IgE Ab
6095-4	IgE Ab
6189-5	IgE Ab
6153-1	IgE Ab
7074-8	IgE Ab
6041-8	IgE Ab
7369-2	IgE Ab
6110-1	IgE Ab
6265-3	IgE Ab
7650-5	IgE Ab
7425-2	IgE Ab
6834-6	IgE Ab
7186-0	IgE Ab
10900-9	Hepatitis Ab
13950-1	Hepatitis Ab
13951-9	Hepatitis Ab
13952-7	Hepatitis Ab
16128-1	Hepatitis Ab
16935-9	Hepatitis Ab
22322-2	Hepatitis Ab
24113-3	Hepatitis Ab
32019-2	Hepatitis Ab
5193-8	Hepatitis Ab
5195-3	Hepatitis Ab
5196-1	Hepatitis Ab
12286-1	Drugs of Abuse
14314-9	Drugs of Abuse
14316-4	Drugs of Abuse
18282-4	Drugs of Abuse
19261-7	Drugs of Abuse
19270-8	Drugs of Abuse
19283-1	Drugs of Abuse
19291-4	Drugs of Abuse
19295-5	Drugs of Abuse
19299-7	Drugs of Abuse
19343-3	Drugs of Abuse
19359-9	Drugs of Abuse
19362-3	Drugs of Abuse
19550-3	Drugs of Abuse
3390-2	Drugs of Abuse
3397-7	Drugs of Abuse
3773-9	Drugs of Abuse
5644-0	Drugs of Abuse
16249-5	Drugs of Abuse Confirm
19289-8	Drugs of Abuse Confirm
18390-5	Drugs of Abuse Confirm
19298-9	Drugs of Abuse Confirm
19282-3	Drugs of Abuse Confirm
20453-7	Urine sediment
13654-9	Urine sediment
5793-5	Urine sediment
12248-1	Urine sediment
11277-1	Urine sediment
25145-4	Urine sediment
8248-7	Urine sediment
8249-5	Urine sediment
5820-6	Urine sediment
26052-1	Urine sediment
28545-2	Urine sediment
5807-3	Urine sediment
24365-9	Urine sediment
5798-4	Urine sediment
12454-5	Urine sediment
12210-1	Urine sediment
5782-8	Urine sediment
5787-7	Urine sediment
30089-7	Urine sediment
21033-6	Urine sediment
2744-1	Arterial blood gas
2714-4	Arterial blood gas
1960-4	Arterial blood gas
2019-8	Arterial blood gas
2703-7	Arterial blood gas
30313-1	Arterial blood gas
32354-3	Arterial blood gas
2615-3	Arterial blood gas
19225-2	Arterial blood gas
19218-7	Arterial blood gas
2708-6	Arterial blood gas
2030-5	Arterial blood gas
2518-9	Arterial blood gas
34581-9	Arterial blood gas
32717-1	Arterial blood gas
21232-4	Arterial blood gas
1990-1	Arterial blood gas
32713-0	Arterial blood gas
2889-4	Quant 24Hr Urine
2162-6	Units
5802-4	Units
2160-0	Units
2857-1	Units
2164-2	Units
2345-7	Units
29247-4	Units
3893-5	Units
30078-0	Units
2350-7	Units
21008-8	HIV RNA
29615-2	HepB DNA
6476-6	Mumps virus Ab (Immune)
5244-9	Measles virus Ab (Immune)
5403-1	Varicella zoster Ab (Immune)
15129-1	D-dimer (Deprecated)
10622-9	Spermatozoa Normal/100 (Semen)
13359-5	Character of semen (Semen)(Color)
6800-7	Spermatozoa motile/100 (Semen)
